material,Material Desc,operation,op_type,Op Description,factory,attempts,failures,HW Driven Failures,Sum Hours,ern Std,HPU,FPY,HW Driven Yield
2212905-1,J,5885,TEST,TEST,EOPC Seekers,708,50,6,177.9,0.2,0.3,92.9%,99.2%
2212905-1,J,5980,INSPECTION,INSPECTION,EOPC Seekers,718,4,,,,0.0,99.4%,100.0%
,,,,,,,,,,,,,
2274885-1,K,20,ASSEMBLY,,EO Int,565,0,,219.3,,0.4,100.0%,100.0%
2274885-1,K,30,ASSEMBLY,ASSEMBLE WITH VERIFICATION A AND B,EO Int,565,3,2,434.9,,0.8,99.5%,99.6%
2274885-1,K,40,TEST,TEST,EO Int,572,42,25,300.8,0.4,0.5,92.7%,95.6%
2274885-1,K,200,INSPECTION,PTE - TEST DATA VERIFICATION,EO Int,569,0,,,,0.0,100.0%,100.0%
2274885-1,K,580,INSPECTION,FINAL INSPECTION,EO Int,577,2,1,,,0.0,99.7%,99.8%
,,,,,,,,,,,,,
2274935,L,60,TEST,TEST,EO Int,157,16,1,86,0.4,0.5,89.8%,99.4%
2274935,L,200,INSPECTION,PTE - TEST DATA VERIFICATION,EO Int,164,0,,,,0.0,100.0%,100.0%
2274935,L,580,INSPECTION,FINAL INSPECT,EO Int,164,2,,,,0.0,98.8%,100.0%
,,,,,,,,,,,,,
2276230-11B,M,60,ASSEMBLY,"ASSEMBLE, BOND, CURE",EO Int,677,0,,225.2,,0.3,100.0%,100.0%
2276230-11B,M,65,ASSEMBLY,REMOVE FROM OVEN,EO Int,673,0,,120.3,,0.2,100.0%,100.0%
2276230-11B,M,100,TEST,"TEST, LOAD,AND RECORD",EO Int,676,2,,260.5,0.5,0.4,99.7%,100.0%
2276230-11B,M,980,INSPECTION,FINAL INSPECTION,EO Int,679,2,,,,0.0,99.7%,100.0%
,,,,,,,,,,,,,
2276230-10B,N,60,ASSEMBLY,"ASSEMBLE, BOND, CURE",EO Int,683,1,,235.6,,0.3,99.9%,100.0%
2276230-10B,N,65,ASSEMBLY,REMOVE FROM OVEN,EO Int,681,0,,119.2,,0.2,100.0%,100.0%
2276230-10B,N,100,TEST,"TEST, LOAD, AND RECORD",EO Int,687,2,,271.8,0.5,0.4,99.7%,100.0%
2276230-10B,N,980,INSPECTION,FINAL INSPECTION,EO Int,684,3,1,,,0.0,99.6%,99.9%
,,,,,,,,,,,,,
2276246-7B,O,60,ASSEMBLY,"ASSEMBLE, BOND, CURE",EO Int,459,2,2,214.3,,0.5,99.6%,99.6%
2276246-7B,O,65,ASSEMBLY,REMOVE FROM OVEN,EO Int,458,0,,103.2,,0.2,100.0%,100.0%
2276246-7B,O,100,TEST,"TEST, LOAD, AND RECORD",EO Int,459,4,1,216.9,0.4,0.5,99.1%,99.8%
2276246-7B,O,980,INSPECTION,FINAL INSPECTION,EO Int,469,14,2,,,0.0,97.0%,99.6%
,,,,,,,,,,,,,
2212903-2,P,3,ASSEMBLY,,EOPC Seekers,786,0,,,,0.0,100.0%,100.0%
2212903-2,P,4200,ASSEMBLY,,EOPC Seekers,750,1,1,156.8,0.1,0.2,99.9%,99.9%
2212903-2,P,4600,ASSEMBLY,,EOPC Seekers,750,4,4,1164,0.3,1.6,99.5%,99.5%
2212903-2,P,4625,ASSEMBLY,,EOPC Seekers,750,14,12,326.6,0.9,0.4,98.1%,98.4%
2212903-2,P,4650,ASSEMBLY,,EOPC Seekers,729,5,1,1033.8,0.3,1.4,99.3%,99.9%
2212903-2,P,4800,ASSEMBLY,,EOPC Seekers,689,3,3,87.1,0.1,0.1,99.6%,99.6%
2212903-2,P,4850,TEST,Resistance & Hi-Pot,EOPC Seekers,744,17,0,367.2,0.5,0.5,97.7%,100.0%
2212903-2,P,4920,ASSEMBLY,,EOPC Seekers,757,1,1,312.4,0.1,0.4,99.9%,99.9%
2212903-2,P,4940,TEST,,EOPC Seekers,757,77,5,216.8,0.1,0.3,89.8%,99.3%
2212903-2,P,4980,INSPECTION,,EOPC Seekers,751,1,1,,,,99.9%,99.9%
